id,naslov_sr,naslov_en,slug,status,objavljeno,kategorije,excerpt_sr,excerpt_en,sadrzaj_sr,naslovna_slika,galerija_slike,broj_slika,video_url,meta_naslov_sr,meta_opis_sr,kreiran,azuriran,podkategorija
909,2D panelne ograde,,2d-panelne-ograde,published,2025-03-10T10:36:27.000Z,2025-03-10T10:36:27.000Z,"2D panelne ograde predstavljaju jedno od najatraktivnijih i najizdržljivijih rešenja za ograđivanje različitih prostora. Ove ograde su izrađene od žice prečnika 6/5/6 mm ili 8/6/8 mm, što ih čini…",,"2D panelne ograde predstavljaju jedno od najatraktivnijih i najizdržljivijih rešenja za ograđivanje različitih prostora. Ove ograde su izrađene od žice prečnika 6/5/6 mm ili 8/6/8 mm, što ih čini jednim od najčvršćih sistema među panelnim ogradama. Standardna dužina panela je 2,5 metra, dok se visine kreću od 0,83 do 2,43 metra, a mogu se prilagoditi specifičnim potrebama objekta.
2D paneli dostupni su u verzijama sa toplocinkovanjem ili plastifikacijom, što osigurava dugotrajnu zaštitu od korozije. Garancije na ove ograde variraju od 10 do 20 godina, zavisno od odabranog završnog sloja, čime se dodatno osigurava njihova otpornost na spoljne uticaje.
Ove ograde su naročito popularne za ograđivanje industrijskih objekata i sportskih terena, posebno kada su potrebne visine do 6 metara. Zahvaljujući svojoj izdržljivosti i fleksibilnosti, 2D panelne ograde lako se kombinuju s različitim vrstama stubova, što omogućava jednostavnu prilagodbu svakom prostoru. Takođe, kada je potrebno sakriti unutrašnjost objekta, ove ograde mogu biti opremljenePVC trakama koje pružaju dodatnu zaštitu od neželjenih pogleda.
Pored visokog kvaliteta materijala, nudimo kompletnu uslugu isporuke i montaže po sistemu ključ u ruke na celoj teritoriji Srbije i šire. Naša usluga uključuje i sve neophodne betonske radove vezane za postavljanje ograda i kapija, kako bi se osigurala maksimalna stabilnost i dugotrajnost konstrukcije.",2D-panelne-ograde-01.webp,2D-panelne-ograde-06.webp; 2D-panelne-ograde-05.webp; 2D-panelne-ograde-04.webp; 2D-panelne-ograde-13.webp; 2D-panelne-ograde-12.webp; 2D-panelne-ograde-08.webp; 2D-panelne-ograde-16.webp; 2D-panelne-ograde-09.webp; 2D-panelne-ograde-02.webp; 2D-panelne-ograde-11.webp; 2D-panelne-ograde-14.webp; 2D-panelne-ograde-10.webp,12,https://www.youtube.com/watch?v=CBtzuDxQKTI,2D panelne ograde,2D panelne ograde predstavljaju jedno od najatraktivnijih i najizdržljivijih rešenja za ograđivanje različitih prostora. Ove ograde su izrađene od žice prečnika…,2026-06-11T15:55:55.207Z,2026-06-23T20:29:38.251Z,privatni 
865,ALUMINIJUMSK KLIZNA I DVOKRILNA KAPIJA,,aluminijumsk-klizna-i-dvokrilna-kapija,published,2025-04-22T12:26:15.000Z,gotovi-projekti,"Na ovom objektu ugrađene su klizna i dvokrilna kapija iz linije BELVEDERE, izrađene od aluminijumskih profila dimenzija 80×20 mm i plastificirane u RAL7016 antracit sivoj boji. Ovaj model kapije…",,"Na ovom objektu ugrađene su klizna i dvokrilna kapija iz linije BELVEDERE, izrađene od aluminijumskih profila dimenzija 80×20 mm i plastificirane u RAL7016 antracit sivoj boji. Ovaj model kapije kombinuje savremen izgled sa funkcionalnošću i idealan je izbor za dvorišta i prostore gde je potrebna privatnost uz vizuelnu prozračnost.
Karakteristike kapije BELVEDERE
 Materijal i konstrukcija: Kapije su izrađene od visoko kvalitetnih aluminijumskih profila 80×20 mm, koji omogućavaju čvrstoću i dugotrajnost, dok polutransparentna struktura pruža ravnotežu između otvorenosti i privatnosti. 
 Boja i završna obrada: RAL7016 antracit siva plastifikacija doprinosi elegantnom i sofisticiranom izgledu, a istovremeno obezbeđuje otpornost na koroziju i vremenske uticaje. 
 Tip kapije: BELVEDERE modeli su dostupni u varijanti klizne i dvokrilne kapije, što omogućava primenu u različitim vrstama prostora, zavisno od tehničkih i estetskih zahteva. 
 Automatizacija: Kapije su automatizovane uz pomoć motora KING GATES JET24, koji pruža pouzdan rad, tiho otvaranje i zatvaranje, kao i komforno upravljanje putem daljinskog upravljača. 
 Kvalitet i poreklo: Kao i svi proizvodi iz naše ponude, kapije BELVEDERE su izrađene od najkvalitetnijih materijala evropskog porekla, sa fokusom na dugotrajnost i vrhunsku obradu. 
Dodatne informacije i linkovi
Više detalja o kapiji BELVEDERE možete pronaći na sledećim stranicama:Dvokrilna kapija BELVEDEREKlizna kapija BELVEDERE
Informacije o korišćenom motoru za automatizaciju kapije dostupne su ovde:Motorni pogon KING GATES JET24
Pogledajte i sve opcije automatizacije kapija koje nudimo:Automatizacija kapija – KING GATES
Video prezentacija kapije BELVEDERE dostupna je na sledećem linku:
Ključne reči :aluminijumska kapija, kapija BELVEDERE, klizna kapija, dvokrilna kapija, kapija RAL7016, polutransparentna kapija, aluminijumski profili 80×20, automatizovana kapija, motorna kapija, KING GATES JET24, aluminijumska ograda, moderni dizajn kapije, dvorišna kapija, kapija sa motorom, kapija na daljinsko upravljanje, EU kvalitet kapije.",ALUMINIJUMSKA-KAPIJA-10.webp,ALUMINIJUMSKA-KAPIJA-1.webp; ALUMINIJUMSKA-KAPIJA-2.webp; ALUMINIJUMSKA-KAPIJA-3.webp; ALUMINIJUMSKA-KAPIJA-4.webp; ALUMINIJUMSKA-KAPIJA-5.webp; ALUMINIJUMSKA-KAPIJA-7.webp,6,https://www.youtube.com/watch?v=AxyPGFbqURs,ALUMINIJUMSK KLIZNA I DVOKRILNA KAPIJA,"Na ovom objektu ugrađene su klizna i dvokrilna kapija iz linije BELVEDERE, izrađene od aluminijumskih profila dimenzija 80×20 mm i plastificirane u RAL7016…",2026-06-11T15:54:31.251Z,2026-06-23T20:30:38.485Z,privatni 
859,ALUMINIJUMSKA DVOKRILNA I KLIZNA KAPIJA,,aluminijumska-dvokrilna-i-klizna-kapija,published,2025-05-26T19:24:47.000Z,gotovi-projekti,"Na privatnom objektu postavljene su dve aluminijumske kapije iz linije TIVOLI – jedna dvokrilna i jedna klizna, obe u elegantnoj nijansi RAL7016 antracit siva. Kapije TIVOLI karakteriše moderan…",,"Na privatnom objektu postavljene su dve aluminijumske kapije iz linije TIVOLI – jedna dvokrilna i jedna klizna, obe u elegantnoj nijansi RAL7016 antracit siva. Kapije TIVOLI karakteriše moderan dizajn, visok nivo privatnosti i otpornost na spoljne uticaje, zahvaljujući vrhunskim materijalima evropskog porekla.
Dvokrilna aluminijumska kapija TIVOLI
 Konstrukcija: Kapija je izrađena od aluminijumskih Z profila, raspoređenih tako da formiraju potpuno neprovidnu površinu, pružajući maksimalnu privatnost unutar dvorišta. 
 Specifičnost terena: Ova kapija je montirana na terenu sa kosinom, što je omogućeno zahvaljujući pažljivoj izradi i preciznom podešavanju. 
 Način otvaranja: Otvaranje je izvedeno mehanički, uz mogućnost automatizacije. U ponudi je kompletan set za automatizaciju sa motorom KING GATES JET 24 i automatskom bravicom koja obezbeđuje dodatnu zaštitu od udara vetra i neovlašćenog otvaranja. 
 Motorni pogon KING GATES JET 24 
Klizna aluminijumska kapija TIVOLI
 Automatizacija: Klizna kapija na ovom objektu je potpuno automatizovana pomoću motora KING GATES DYNAMOS 400, koji omogućava tiho, brzo i sigurno otvaranje i zatvaranje kapije. 
 Motorni pogon KING GATES DYNAMOS 400 
Materijali i oprema
Za sve kapije iz naše ponude koristimo samo najkvalitetnije materijale evropskog porekla, a dodatna oprema i sistemi za automatizaciju obezbeđuju dugotrajnost i pouzdanost.
 Kompletna oprema i dodaci za kapije 
Više o modelu kapije možete pogledati ovde:
 Aluminijumska kapija TIVOLI 
Pogledajte video prikaz kapija TIVOLI na ovom objektu:
Ključne reči :
aluminijumska kapija TIVOLI, dvokrilna kapija, klizna kapija, neprovidna kapija, RAL7016 antracit siva, KING GATES JET 24, KING GATES DYNAMOS 400, automatska bravica, kapija za kosinu, aluminijumski Z profili, kapija sa motorom, automatizovana kapija, privatnost u dvorištu, aluminijumska ograda, oprema za kapije, EU kvalitet.",4743CEF7-241B-4D3C-9544-253B8056132E.webp,E3BFAFA3-041F-41FD-A868-226ED46B9C4D.webp; 02048859-D649-482F-BCE9-84B95B0142C8.webp; 153F5A28-F192-4A01-BE80-F2F1FD7EB5B8.webp; 75CA551D-3FF5-4D1E-9D2D-80141D68F123.webp; 27CF220A-974A-48A3-B533-95618F263F07.webp; 9CABEA58-E333-4997-BA99-7A0C1947D74F.webp; 2D1B1319-F684-4B5D-ACE8-CE1EF1936BD1.webp; FC96A66D-8B1B-4A0D-8381-C358BEF62279.webp,8,https://www.youtube.com/watch?v=3xhGbMbLeaU,ALUMINIJUMSKA DVOKRILNA I KLIZNA KAPIJA,"Na privatnom objektu postavljene su dve aluminijumske kapije iz linije TIVOLI – jedna dvokrilna i jedna klizna, obe u elegantnoj nijansi RAL7016 antracit siva.",2026-06-11T15:54:17.990Z,2026-06-23T20:30:46.638Z,privatni 
887,ALUMINIJUMSKA DVOKRILNA I PEŠAČKA KAPIJA,,aluminijumska-dvokrilna-i-pesacka-kapija,published,2025-03-10T12:36:38.000Z,gotovi-projekti,"Aluminijumska dvokrilna i pešačka kapija BELVEDERE u boji čokolade (RAL8017) predstavlja idealno rešenje za moderne i funkcionalne ograde. Dizajnirana sa aluminijumskim profilima dimenzija 80×20 mm,…",,"Dvokrilna aluminijumska kapija BELVEDERE u boji RAL8017 braon čokolada
Aluminijumska dvokrilna i pešačka kapija BELVEDERE u boji čokolade (RAL8017) predstavlja idealno rešenje za moderne i funkcionalne ograde. Dizajnirana sa aluminijumskim profilima dimenzija 80×20 mm, sa razmakom od 3 cm, ova kapija pruža savremen i delimično transparentan izgled.
Detalji o proizvodu
Materijal: Aluminijumski profili dimenzija 80×20 mm.
Dizajn: Profili slagani sa rastojanjem od 3 cm, pružaju delimično transparentan izgled.
Boja: Braon čokolada, RAL8017.
Automatizacija: Motor KING GATES JET 24 omogućava lako otvaranje i zatvaranje.Detalji o motoru
Pešačka kapija BELVEDERE
Dizajn: Usklađena sa dvokrilnom kapijom.
Oprema: Korišćene šarke PUMA.
Šarke i dodatna oprema
Dvokrilna kapija: Šarke BOLTON HD.
Kvalitet: Svi elementi 100% EU porekla.
Oprema i dodaci
Video prezentacija
Pogledajte kapiju u akciji:
Ključne reči: aluminijumska kapija, dvokrilna kapija, pešačka kapija, BELVEDERE, RAL8017, braon čokolada, motor KING GATES JET 24, šarke PUMA, šarke BOLTON HD, aluminijumske ograde, moderni dizajn, delimično transparentna kapija.",ALUMINIJUMSKA-OGRADA-BELVEDERE-7-1-scaled.webp,ALUMINIJUMSKA-OGRADA-BELVEDERE-6-1-2048x1536.avif; ALUMINIJUMSKA-OGRADA-BELVEDERE-5-1-2048x1536.avif; ALUMINIJUMSKA-OGRADA-BELVEDERE-4-1-2048x1536.avif; ALUMINIJUMSKA-OGRADA-BELVEDERE-3-1-scaled.avif; ALUMINIJUMSKA-OGRADA-BELVEDERE-2-1-2048x1536.avif; ALUMINIJUMSKA-OGRADA-BELVEDERE-1-1-2048x1536.avif,6,https://www.youtube.com/watch?v=2zZTegHxGSM,ALUMINIJUMSKA DVOKRILNA I PEŠAČKA KAPIJA,Aluminijumska dvokrilna i pešačka kapija BELVEDERE u boji čokolade (RAL8017) predstavlja idealno rešenje za moderne i funkcionalne ograde.,2026-06-11T15:55:13.684Z,2026-06-23T20:30:08.448Z,privatni 
902,ALUMINIJUMSKA DVOKRILNA KAPIJA I OGRADA,,aluminijumska-dvokrilna-kapija-i-ograda,published,2025-03-10T11:59:34.000Z,gotovi-projekti,"Predstavljamo projekat postavljanja dvokrilne aluminijumske kapije BELVEDERE u elegantnoj RAL7016 antracit sivoj boji, koja se savršeno uklapa u moderne dvorišne i stambene prostore. Ova kapija…",,"Predstavljamo projekat postavljanja dvokrilne aluminijumske kapije BELVEDERE u elegantnoj RAL7016 antracit sivoj boji, koja se savršeno uklapa u moderne dvorišne i stambene prostore. Ova kapija izrađena je od aluminijumskih profila dimenzija 80×20 mm, čime se postiže polutransparentan efekat koji kombinuje privatnost i sofisticirani dizajn.
Automatizacija i sigurnostDvokrilna kapija BELVEDERE je automatizovana za maksimalnu praktičnost i sigurnost. Opremljena je motorom KING GATES JET 24, u kombinaciji sa automatskom bravicom, koja osigurava stabilnost kapije u svim vremenskim uslovima i štiti od nasilnog otvaranja.
Pored dvokrilne kapije, postavljena je i pešačka kapija BELVEDERE, što omogućava lak i funkcionalan ulaz u dvorište. Na pešačkoj kapiji korišćene su šarke DINO, dok su na dvokrilnoj kapiji upotrebljene izdržljive šarke BOLTON HD, koje garantuju dugovečnost i stabilnost.
Komplementarna aluminijumska ograda BELVEDEREUz kapije, postavljena je i aluminijumska ograda BELVEDERE, koja je montirana na betonski parapet pomoću ankerisanih stubova. Ograda je dizajnirana da bude u skladu s kapijama, pružajući jedinstven estetski i funkcionalni izgled celokupnog prostora.
Kvalitet materijalaSvi elementi i komponente su 100% evropskog porekla, što garantuje vrhunski kvalitet, dugotrajnost i otpornost na vremenske uslove. Naš tim pruža kompletnu uslugu isporuke, montaže i potrebnih građevinskih radova širom Srbije.
Posetite našu ponudu za više detalja:
Dvokrilna kapija BELVEDERE
Motor KING GATES JET 24
Dodaci i oprema",ALUMINIJUMSKA-OGRADA-I-KAPIJE-TIVOLI-9-scaled.webp,ALUMINIJUMSKA-OGRADA-I-KAPIJE-TIVOLI-8-2048x1536.avif; ALUMINIJUMSKA-OGRADA-I-KAPIJE-TIVOLI-6-scaled.avif; ALUMINIJUMSKA-OGRADA-I-KAPIJE-TIVOLI-5-scaled.avif; ALUMINIJUMSKA-OGRADA-I-KAPIJE-TIVOLI-4-2048x1536.avif; ALUMINIJUMSKA-OGRADA-I-KAPIJE-TIVOLI-2-2048x1536.avif; ALUMINIJUMSKA-OGRADA-I-KAPIJE-TIVOLI-1-2048x1536.avif,6,https://www.youtube.com/watch?v=phVZGkKQdWA,ALUMINIJUMSKA DVOKRILNA KAPIJA I OGRADA,"Predstavljamo projekat postavljanja dvokrilne aluminijumske kapije BELVEDERE u elegantnoj RAL7016 antracit sivoj boji, koja se savršeno uklapa u moderne…",2026-06-11T15:55:41.739Z,2026-06-23T20:29:47.893Z,privatni 
857,ALUMINIJUMSKA I PANELNA OGRADA SA KAPIJOM,,aluminijumska-i-panelna-ograda-sa-kapijom,published,2025-05-26T19:46:31.000Z,gotovi-projekti,"Na privatnom objektu izvedena je kombinacija dve vrste ograda: sa bočnih strana postavljena je panelna ograda EUROFENCE 3D u nijansi RAL7016 antracit siva, dok je sa frontalne strane postavljena…",,"Na privatnom objektu izvedena je kombinacija dve vrste ograda: sa bočnih strana postavljena je panelna ograda EUROFENCE 3D u nijansi RAL7016 antracit siva, dok je sa frontalne strane postavljena elegantna aluminijumska ograda BELVEDERE, upotpunjena sa kliznom i pešačkom kapijom iz iste linije.
Ova kombinacija pruža savršen balans između funkcionalnosti, estetike i modernog dizajna.
Panelna ograda EUROFENCE 3D
 Materijal i boja: Ograda je izrađena od čeličnih panela sa 3D ojačanjima, plastificirana u boji RAL7016. 
 Postavljanje: Paneli su montirani na betonski parapet, koji je zbog nagiba terena izveden u kaskadnoj formi. 
 Stubovi i pričvršćivanje: Stubovi su ankerisani za betonski parapet, a paneli su za stubove pričvršćeni pomoću INOX spojnica, što obezbeđuje čvrstinu i dugotrajnost. 
 EUROFENCE 3D panelna ograda 
 INOX spojnica za panelnu ogradu 
Aluminijumska ograda BELVEDERE sa kapijama
 Materijal: Ograda i kapije izrađeni su od aluminijumskih profila 80×20 mm u boji RAL7016 antracit siva, koja se vizuelno savršeno uklapa sa EUROFENCE 3D panelima. 
 Kapije: Postavljene su dve kapije iz linije BELVEDERE:   Klizna kapija BELVEDERE   BELVEDERE klizna kapija     Pešačka kapija BELVEDERE   BELVEDERE pešačka kapija     
 Ograda: Fiksni aluminijumski segmenti iz linije BELVEDERE dodatno doprinose estetici i privatnosti.   BELVEDERE aluminijumska ograda   
Video prezentacija
Pogledajte kako izgleda kombinacija EUROFENCE 3D i BELVEDERE ograde na ovom objektu:
Ključne reči :
EUROFENCE 3D ograda, panelna ograda, aluminijumska ograda BELVEDERE, aluminijumska kapija, klizna kapija BELVEDERE, pešačka kapija, RAL7016 antracit siva, INOX spojnica, kombinacija ograda, ograda za privatni objekat, betonski parapet, aluminijumski profili 80×20, moderna ograda, ograđivanje dvorišta, kapije i ograde.",EUROFENCE-3-D-PANELNA-OGRADA-6.webp,EUROFENCE-3-D-PANELNA-OGRADA-8.webp; EUROFENCE-3-D-PANELNA-OGRADA-1.webp; EUROFENCE-3-D-PANELNA-OGRADA-17.webp; EUROFENCE-3-D-PANELNA-OGRADA-18.webp; EUROFENCE-3-D-PANELNA-OGRADA-19.webp; EUROFENCE-3-D-PANELNA-OGRADA-5.webp; EUROFENCE-3-D-PANELNA-OGRADA-6.webp; EUROFENCE-3-D-PANELNA-OGRADA-7.webp,8,https://www.youtube.com/watch?v=tANiGECyXj4,ALUMINIJUMSKA I PANELNA OGRADA SA KAPIJOM,Na privatnom objektu izvedena je kombinacija dve vrste ograda: sa bočnih strana postavljena je panelna ograda EUROFENCE 3D u nijansi RAL7016 antracit siva…,2026-06-11T15:54:14.493Z,2026-06-23T20:30:49.360Z,privatni 
863,ALUMINIJUMSKA KAPIJA I OGRADA BELVEDERE,,aluminijumska-kapija-i-ograda-belvedere,published,2025-05-19T06:24:59.000Z,gotovi-projekti,"Na privatnom objektu u Beogradu postavljena je aluminijumska pešačka kapija i ograda BELVEDERE u modernoj RAL7016 antracit sivoj boji. Ovo elegantno rešenje kombinuje funkcionalnost i estetiku,…",,"Na privatnom objektu u Beogradu postavljena je aluminijumska pešačka kapija i ograda BELVEDERE u modernoj RAL7016 antracit sivoj boji. Ovo elegantno rešenje kombinuje funkcionalnost i estetiku, pružajući privatnost i savremen izgled dvorišnom prostoru.
Karakteristike aluminijumske kapije BELVEDERE
 Konstrukcija: Kapija je izrađena od aluminijumskih profila dimenzija 80×20 mm, koji su raspoređeni sa međusobnim razmakom, čime se postiže efekat delimične transparentnosti. Ovaj dizajn omogućava prozračnost, ali i određeni stepen privatnosti, istovremeno zadržavajući sofisticiran izgled. 
 Površinska obrada: Kapija je plastificirana u boji RAL7016, koja je među najtraženijim nijansama kada su u pitanju moderne aluminijumske ograde i kapije, jer se savršeno uklapa uz savremenu arhitekturu. 
Link ka proizvodu:Pešačka kapija BELVEDERE
Karakteristike aluminijumske ograde BELVEDERE
 Materijal i dimenzije: Ograda je izrađena od istih aluminijumskih profila dimenzija 80×20 mm, što omogućava jedinstven vizuelni identitet kompletnog ograđenog prostora. 
 Montaža: Ograda je postavljena na betonske stubove, pri čemu su dodatno ugrađeni metalni stubovi između njih, kako bi se obezbedila čvrstoća i stabilnost konstrukcije. Ovo je naročito važno u slučajevima kada je rastojanje između dva betonska stuba veće od preporučenog. 
 Preporučeno rastojanje: Idealna udaljenost između betonskih stubova je od 1,5 do 2 metra, kako bi se obezbedila maksimalna stabilnost i otpornost na spoljne uticaje. 
Link ka proizvodu:Aluminijumska ograda BELVEDERE
Pogledajte video prikaz ugrađene kapije i ograde BELVEDERE na terenu:
Ključne reči :aluminijumska kapija BELVEDERE, aluminijumska ograda, pešačka kapija, RAL7016 kapija, aluminijumski profili 80×20, dekorativna kapija, moderna ograda, ograda za privatni objekat, montaža aluminijumske ograde, delimično transparentna kapija, savremeni dizajn kapije, aluminijumska kapija Beograd, betonski stubovi za ogradu",aluminijumska-kapiaj-abelvedere-2.webp,aluminijumska-kapiaj-abelvedere-1.webp; aluminijumska-kapiaj-abelvedere-7.webp; aluminijumska-kapiaj-abelvedere-6-e1747635870694.webp; aluminijumska-kapiaj-abelvedere-5.webp; aluminijumska-kapiaj-abelvedere-4.webp; aluminijumska-kapiaj-abelvedere-3.webp,6,https://www.youtube.com/watch?v=abYLdW47wLc,ALUMINIJUMSKA KAPIJA I OGRADA BELVEDERE,Na privatnom objektu u Beogradu postavljena je aluminijumska pešačka kapija i ograda BELVEDERE u modernoj RAL7016 antracit sivoj boji.,2026-06-11T15:54:27.259Z,2026-06-23T20:30:41.205Z,privatni 
881,ALUMINIJUMSKA KAPIJA SA POVRATNIM MEHANIZMOM,,aluminijumska-kapija-sa-povratnim-mehanizmom-i-ograda-belvedere,published,2025-03-10T12:47:38.000Z,gotovi-projekti,"Na ovom objektu postavili smo pešačku kapiju BELVEDERE sa povratnim mehanizmom MAMMOTH LOCINOX, kao i aluminijumsku ogradu BELVEDERE.",,"🏡 Lokacija: Privatni objekat, Beograd
Na ovom objektu postavili smo pešačku kapiju BELVEDERE sa povratnim mehanizmom MAMMOTH LOCINOX, kao i aluminijumsku ogradu BELVEDERE.
Pešačka kapija BELVEDERE
🚪 Kapija je izrađena od aluminijumskih profila 80×20 mm, složenih sa rastojanjem za postizanje delimično transparentnog efekta, koji doprinosi modernom izgledu dvorišta.🔄 Samozatvarajući mehanizam MAMMOTH LOCINOX omogućava tiho i efikasno zatvaranje kapije, uz radijus otvaranja do 180°.🛠 Nosivost: do 150 kg | Širina: do 1500 mm
🔗 Detalji o mehanizmu: LOCINOX MAMMOTH
Aluminijumska ograda BELVEDERE
✅ Ograda BELVEDERE izrađena je od aluminijumskih profila, pružajući otpornost na vremenske uslove i koroziju.🎨 Dostupne boje: Sve nijanse iz RAL palete, što omogućava prilagođavanje dizajna svakom prostoru.
📽 Pogledajte video instalacije:
Ključne reči: aluminijumska kapija, samozatvarajuća kapija, moderni dizajn ograda, dvorišna kapija sa mehanizmom, LOCINOX MAMMOTH, elegantna aluminijumska ograda, BELVEDERE ograda.",ALUMINIJUMSKA-KAPIJA-SA-POVRATNIM-MEHANIZMOM-scaled.webp,IMG-9959-Original-1-2048x1536.avif; IMG-9960-Original-1-2048x1536.avif; IMG-9961-Original-1-2048x1536.avif; IMG-9966-Original-1-2048x1536.avif; IMG-9967-Original-1-2048x1536.avif; IMG-9971-Original-1-2048x1536.avif; IMG-9972-Original-1-2048x1536.avif,7,https://www.youtube.com/watch?v=dZueiRdAoqA,ALUMINIJUMSKA KAPIJA SA POVRATNIM MEHANIZMOM,"Na ovom objektu postavili smo pešačku kapiju BELVEDERE sa povratnim mehanizmom MAMMOTH LOCINOX, kao i aluminijumsku ogradu BELVEDERE.",2026-06-11T15:55:00.632Z,2026-06-23T20:30:16.637Z,privatni 
848,ALUMINIJUMSKA KAPIJA TIVOLI,,aluminijumska-kapija-tivoli-2,published,2025-07-25T08:07:00.000Z,gotovi-projekti,"Na privatnom objektu u okolini Leskovca, tim kompanije Palisada DOO realizovao je projekat ugradnje aluminijumskih kapija iz serije TIVOLI, poznate po savremenom dizajnu, robusnosti i otpornosti na…",,"Na privatnom objektu u okolini Leskovca, tim kompanije Palisada DOO realizovao je projekat ugradnje aluminijumskih kapija iz serije TIVOLI, poznate po savremenom dizajnu, robusnosti i otpornosti na vremenske uslove.
Dvokrilne aluminijumske kapije TIVOLI
Kapije su postavljene na glavnom ulazu u dvorište, sa elegantnom ispunom od Z profila, plastificirane u nijansi RAL7016 antracit siva koja se odlično uklapa u različita arhitektonska okruženja.
Više informacija o ovom modelu:Aluminijumska kapija TIVOLI – dvokrilna
Automatizacija kapija
Kapije su opremljene motorima KING GATES JET24, izuzetno pouzdanim rešenjem za automatizaciju dvokrilnih kapija, koji omogućava tihi i bezbedan rad.
Više informacija o motoru:Motorni pogon KING GATES JET24
Pešačka kapija i dodatna ograda
Pored glavnih kapija, postavljena je i pešačka kapija TIVOLI, koja pripada istoj liniji proizvoda, čime je postignuta vizuelna i funkcionalna celovitost celog kompleksa.
Pešačka kapija TIVOLI
U okviru kompleksa nalazi se i strujni agregat, koji je dodatno ograđen aluminijumskom ogradom iz linije TIVOLI, sa posebno postavljenom servisnom kapijom, radi lakšeg pristupa i održavanja.
Video prezentacija
Pogledajte video prikaz kompletnog projekta:
Ključne reči za 
aluminijumska kapija TIVOLI, dvokrilna kapija, pešačka kapija, Z profili, RAL7016 antracit, KING GATES JET24, automatizovana kapija, aluminijumska ograda, kapija za privatni objekat, Palisada DOO, kapija za dvorište, kapija Leskovac, servisna kapija, agregat ograda, savremen dizajn kapije.",ALUMINIJUM-Z-PROFIL-ZALUZUINA-13.webp,ALUMINIJUM-Z-PROFIL-ZALUZUINA-5.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-3.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-2.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-1.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-17.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-16.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-15.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-14.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-13.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-11.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-10.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-9.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-8.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-7.webp; ALUMINIJUM-Z-PROFIL-ZALUZUINA-6.webp,15,https://www.youtube.com/watch?v=MzjVp1jCVPQ,ALUMINIJUMSKA KAPIJA TIVOLI,"Na privatnom objektu u okolini Leskovca, tim kompanije Palisada DOO realizovao je projekat ugradnje aluminijumskih kapija iz serije TIVOLI…",2026-06-11T15:53:45.712Z,2026-06-23T20:31:01.689Z,privatni 
873, ,,aluminijumska-kapija-tivoli,published,2025-03-10T17:43:52.000Z,gotovi-projekti,"Na privatnoj kući u Beogradu izvršena je zamena stare i oštećene ograde novom, modernom aluminijumskom kapijom TIVOLI i pratećom ogradom.",,"Na privatnoj kući u Beogradu izvršena je zamena stare i oštećene ograde novom, modernom aluminijumskom kapijom TIVOLI i pratećom ogradom.
Na ovom objektu postavljena je klizna kapija sa integrisanom pešačkom kapijom, što omogućava maksimalnu funkcionalnost i uštedu prostora. Kapija i ograda izrađene su od aluminijumskih Z profila, koji pružaju potpunu privatnost i elegantan, moderan izgled. Plastifikacija u RAL7016 (Antracit siva) dodatno naglašava savremeni dizajn.
Za kapije je korišćena vrhunska oprema i okov brendova HI MOTIONS (Italija) i LOCINOX (Belgija), garantujući dugotrajnost i pouzdanost. Pešačka kapija opremljena je inovativnim šifarnikom VERA iz LOCINOX-a, koji radi na bateriju sa kapacitetom 150.000 otvaranja i podržava do 100 različitih šifara. VERA je dostupna u bojama SILVER (SILV) i CRNA (RAL9005) i otporna je na sve vremenske uslove.
Automatizaciju kapije omogućava motor KING GATES DYNAMOS 400, dok su pored kapije postavljeni fiksni ogradni paneli iz linije TIVOLI, koji doprinose estetici i privatnosti dvorišta.
SEO ključne reči: aluminijumska kapija, klizna kapija, kapija sa pešačkim ulazom, aluminijumska ograda, kapija TIVOLI, moderna kapija, privatnost dvorišta, automatizovana kapija",IMG-0412-scaled.webp,IMG-5639-scaled.webp; IMG-5638-scaled.webp; IMG-5630-scaled.webp; IMG-5627-scaled.webp,4,https://www.youtube.com/watch?v=UI7gt-qk5o8,ALUMINIJUMSKA KAPIJA TIVOLI,"Na privatnoj kući u Beogradu izvršena je zamena stare i oštećene ograde novom, modernom aluminijumskom kapijom TIVOLI i pratećom ogradom.",2026-06-11T15:54:45.490Z,2026-06-23T20:30:27.512Z,privatni 
